testcase,description,category,preconditions,stepname,expected result,testdata,evidence required
TC-001 - User Registration — Valid Details,"Verify that a new user can successfully register an account using valid and unique email, full name, and a strong password, leading to auto-login and redirection to the homepage.",UI Form Validation,"User has a valid, unused email address (for email/password registration).",Navigate to the ShopSphere homepage and click 'Sign Up' link.,"User is redirected to the registration page. The registration form is visible with fields for email, full name, and password.",N/A,"Screenshot of the registration page loaded, URL confirms /register path."
TC-001 - User Registration — Valid Details,"Verify that a new user can successfully register an account using valid and unique email, full name, and a strong password, leading to auto-login and redirection to the homepage.",UI Form Validation,Previous step passed.,"Fill in the registration form with valid, unique details.",All input fields accept the provided data without displaying any client-side validation errors.,email: unique.user@test.com | full name: Test User | password: Secure@123,"Screenshot of the filled registration form, absence of error messages."
TC-001 - User Registration — Valid Details,"Verify that a new user can successfully register an account using valid and unique email, full name, and a strong password, leading to auto-login and redirection to the homepage.",UI Form Validation,Previous step passed.,Click the 'Create Account' button.,"The account is successfully created, a welcome email is sent, and the user is auto-logged-in and redirected to the homepage. A success toast message is displayed.",N/A,"Screenshot of the homepage with the user logged in, success toast message visible, URL confirms /home or similar, 200 OK response on /api/register."
TC-002 - User Registration — Duplicate Email,Verify that the system prevents registration with an email address that already has an active account and provides an appropriate error message and a login link.,UI Form Validation — Negative,An account with email 'duplicate@test.com' already exists in the system.,Navigate to the Sign Up page.,"The user is successfully navigated to the Sign Up page, displaying the registration form fields.",N/A,Screenshot of the Sign Up page URL and visible registration form.
TC-002 - User Registration — Duplicate Email,Verify that the system prevents registration with an email address that already has an active account and provides an appropriate error message and a login link.,UI Form Validation — Negative,Previous step passed.,Enter the existing email address 'duplicate@test.com' and a valid password 'Secure@123' into the registration form fields.,The email and password fields are populated with the provided data.,email: duplicate@test.com | password: Secure@123,Screenshot of the populated email and password fields.
TC-002 - User Registration — Duplicate Email,Verify that the system prevents registration with an email address that already has an active account and provides an appropriate error message and a login link.,UI Form Validation — Negative,Previous step passed.,Click the 'Sign Up' button to submit the form.,"The system rejects the submission, displays the error message 'An account with this email already exists', and shows a clickable link to the Login page.",N/A,Screenshot of the error message and the 'Login' link. Verify 409 Conflict or 400 Bad Request status code on the /api/auth/register endpoint in network logs.
TC-003 - Login — Valid Credentials,"User is authenticated, a JWT + refresh cookie are issued, and the user is redirected to the last visited page or homepage.",UI Form Validation & Redirect,"User has a valid, unused email address (for email/password registration) or an existing Google/Facebook account.",Navigate to the Login page.,The Login page is displayed with input fields for email and password.,,Screenshot of the Login page URL and visible form fields.
TC-003 - Login — Valid Credentials,"User is authenticated, a JWT + refresh cookie are issued, and the user is redirected to the last visited page or homepage.",UI Form Validation & Redirect,Previous step passed,Enter a registered email and correct password.,The email and password fields are populated with the provided valid credentials.,email: user@example.com | password: SecurePassword123!,Screenshot of the populated email and password fields.
TC-003 - Login — Valid Credentials,"User is authenticated, a JWT + refresh cookie are issued, and the user is redirected to the last visited page or homepage.",UI Form Validation & Redirect,Previous step passed,"Click ""Log In.""","User is authenticated, redirected to the homepage (e.g., /dashboard or /), and a successful login indication (e.g., 'Welcome, User!' message or profile icon) is visible.",,"Screenshot of the homepage/dashboard, URL change to homepage, and presence of user-specific elements. Network tab shows 200 OK for login API call and presence of auth cookies."
TC-004 - Login — Invalid Password,"Verify that a user cannot log in with a registered email and an incorrect password, and the system displays an appropriate error message.",UI Form Validation — Negative,"The ShopSphere application is running and accessible. User has a valid, unused email address (for email/password registration) or an existing Google/Facebook account.",Navigate to the Login page.,The Login page is displayed with email and password input fields.,N/A,Screenshot of Login page
